工作单位,实习岗位,工作地点,岗位职责,岗位要求,薪资待遇,Unnamed: 6
淘天有限公司,人力资源实习生,浙江省 ,工程技术业务, 本科 ,7000.0,
宁波容百新能源科技股份有限公司,行研实习生,北京市 ,综合业务, 本科 ,5250.0,
相聚资本管理有限公司,环保销售工程师,北京市 ,金融业务业务, 本科 ,2250.0,
天津实朴检测技术服务有限公司,环境检测分析师,北京市、天津市 ,综合业务, 本科 ,9000.0,
恩智浦半导体（天津）有限公司,技术分析实习生,,工程技术业务, 硕士研究生,0.0,
北京未来城学校,实习教师（中小学商学、经济、日语等学科）,北京市 ,教学业务, 硕士研究生 ,10000.0,
北京未来城学校,助理电子工程师,北京市 ,教学业务, 硕士研究生 ,3750.0,
天津津亚电子有限公司,财务审计实习生,天津市 ,科学研究业务, 本科 ,5250.0,
天健会计师事务所（特殊普通合伙）四川分所,财务实习生,四川省 ,商业和服务业业务, 本科 ,2250.0,
北京华联商厦股份有限公司,管培生,北京市 ,商业和服务业业务, 本科 ,3750.0,
中信金融租赁有限公司,实习生,北京市 ,金融业务业务,本科,3750.0,
